25.94,362,0.002,,,,,,,,
53.48,313,0.002,,,,,,,,
42.41,382,0.002,,,,,,25.72,362,
44.59666667,307,0.002,,,,,,26.42,359,362
12.86,262,0.002,,,,,,25.68,365,
26.74333333,225,0.002,,,,,,69.49,307,
37.87,398,0.002,,,,,,45.23,331,313.3333333
18.39666667,316,0.002,,,,,,45.72,302,
19.08,188,0.002,,,,,,41.05,378,
53.365,186,0.002,,,,,,40.46,384,382
19.23666667,385,0.002,,,,,,40.94,384,
37.08666667,200,0.002,,,,,,46.36,305,
,,,,,,,,46.49,308,306.5
,,,,,,,,13.05,,
,,,,,,,,12.58,262,
,,,,,,,,12.95,262,261.6666667
,,,,,,,,27.14,261,
,,,,,,,,26.97,224,
,,,,,,,,26.12,225,225.3333333
,,,,,,,,38.04,227,
,,,,,,,,37.75,398,
,,,,,,,,37.82,398,398
,,,,,,,,18.64,398,
,,,,,,,,18.28,316,
,,,,,,,,18.27,316,316
,,,,,,,,19.08,316,
,,,,,,,,54.52,188,
,,,,,,,,52.21,,188
,,,,,,,,19.58,,
,,,,,,,,19.34,186,
,,,,,,,,18.79,186,186
,,,,,,,,37.8,,
,,,,,,,,37.09,385,
,,,,,,,,36.37,385,385
,,,,,,,,,385,
,,,,,,,,,200,
,,,,,,,,,200,200
,,,,,,,,,200,
